fue01-01|LA FUERZA OMEGA|LA FUERZA OMEGA
fue01-02|No éramos sino tres amigos.|No eramos sino tres amigos.
fue01-03|Los dos de la confidencia, en cuyo par me contaba, y el descubridor de espantosa fuerza que, sin embargo del secreto, preocupaba ya a la gente.|Los dos de la confidencia, en cuyo par me contaba, y el descubridor de espantosa fuerza que, sin embargo del secreto, preocupaba ya a la gente.
fue01-04|El sencillo sabio ante quien nos hallábamos, no procedía de ninguna academia y estaba asaz distante de la celebridad.|El sencillo sabio ante quien nos hallabamos, no procedia de ninguna academia y estaba asaz distante de la celebridad.
fue01-05|Había pasado la vida concertando al azar de la pobreza pequeños inventos industriales, desde tintas baratas y molinillos de café, hasta máquinas controladoras para boletos de tranvía.|Habia pasado la vida concertando al azar de la pobreza pequenos inventos industriales, desde tintas baratas y molinillos de cafe, hasta maquinas controladoras para boletos de tranvia.
fue01-06|Nunca quiso patentar sus descubrimientos, muy ingeniosos algunos, vendiéndolos por poco menos que nada a comerciantes de segundo orden.|Nunca quiso patentar sus descubrimientos, muy ingeniosos algunos, vendiendolos por poco menos que nada a comerciantes de segundo orden.
fue01-07|Presintiéndose quizá algo de genial, que disimulaba con modestia casi fosca, tenía el más profundo desdén por aquellos pequeños triunfos.|Presintiendose quiza algo de genial, que disimulaba con modestia casi fosca, tenia el mas profundo desden por aquellos pequenos triunfos.
fue01-08|Si se le hablaba de ellos, concomíase con displicencia o sonreía con amargura.|Si se le hablaba de ellos, concomiase con displicencia o sonreia con amargura.
fue01-09|—Eso es para comer —decía sencillamente.|--Eso es para comer --decia sencillamente.
fue01-10|Me había hecho su amigo por la casualidad de cierta conversación en que se trató de ciencias ocultas;|Me habia hecho su amigo por la casualidad de cierta conversacion en que se trato de ciencias ocultas;
fue01-11|pues mereciendo el tema la aflictiva piedad del público, aquellos a quienes interesa suelen disimular su predilección, no hablando de ella sino con sus semejantes.|pues mereciendo el tema la aflictiva piedad del publico, aquellos a quienes interesa suelen disimular su predileccion, no hablando de ella sino con sus semejantes.
fue01-12|Fue precisamente lo que pasó;|Fue precisamente lo que paso;
fue01-13|y mi despreocupación por el qué dirán debió de agradar a aquel desdeñoso, pues desde entonces intimamos.|y mi despreocupacion por el que diran debio de agradar a aquel desdenoso, pues desde entonces intimamos.
fue01-14|Nuestras pláticas sobre el asunto favorito fueron largas.|Nuestras platicas sobre el asunto favorito fueron largas.
